Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Surya Pratap Shahi,BJP,0,Graduate Professional,68,64972955,0
Ziaul Haque Alias Jamshed,AAP, 1 ,12th Pass,50,19816475,0
Anand Prakash Chaurasia,CPI, 1 ,Post Graduate,48,2770000,0
Deenanath Kushwaha,Jan Adhikar Party,0,Graduate,74,22538000,2452500
Fasiha Manzar Ghazala Lari,SP, 4 ,10th Pass,51,99449243,6700000
Firoj,IND,0,8th Pass,43,203000,0
Indramohan,Moulik Adhikar Party,0,Graduate,42,122808,0
Kaushal Kishore Mani Alias Madhavji,AAP,0,Graduate Professional,63,22311000,1600000
Pushpa Shahi,BSP,0,Graduate,49,14797838,2400000
Shahla Ahrari,INC,0,Post Graduate,43,17187983,1895408
Surendr,IND,0,Literate,61,1093000,0
Surendra Chaurasia,BJP, 2 ,12th Pass,39,3902784,732912
Suresh,IND,0,8th Pass,64,2718000,0
Ajay,BSP, 1 ,12th Pass,37,8625000,0
Ajimullah,Jan Adhikar Party,0,Post Graduate,66,5596000,0
Anil,AAP,0,Post Graduate,40,8387981,0
Ashutosh Upadhyay,SP, 1 ,Doctorate,40,26060688,0
Dayanand,Apna Dal United Party,0,Post Graduate,66,6078000,0
Durgesh Kumar,Bharatiya Jan Jagriti Party,0,Graduate,32,1125000,0
Keshav Chand Yadav,INC, 2 ,Post Graduate,42,2111839,0
Ramashray Rajbhar,JD(U),0,10th Pass,56,3222000,42000
Sabhakunwar,BJP,0,Post Graduate,67,16929474,833709
Shriram Kushwaha,CPI(ML)(L),0,Graduate,41,110000,0
Bharat Vyash Gautam,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,45,3440000,0
Bijaylaxmi Gautam,BJP, 1 ,Post Graduate,59,8800994,0
Dulari Devi,INC, 1 ,Literate,45,9470000,1000000
Manbodh Prasad,Suheldev Bharatiya Samaj Party, 2 ,Post Graduate,55,11377932,3108000
Rajesh Bharati,BSP,0,Graduate,57,49176890,0
Satish Kumar,CPI(M), 2 ,Post Graduate,50,555000,0
Udaybhan Rao,AAP,0,Post Graduate,43,447000,0
Bhaskar Mishra,IND,0,12th Pass,40,1900000,6992
Bijay Shanker,Hindustan Janmorcha, 1 ,Post Graduate,63,2142000,100000
Deepak Kumar Mishr,BJP,0,Post Graduate,52,13322688,0
Ishwar Chand Vishwakarama,Bahujan Mukti Party,0,Graduate,43,6317797,0
Krishnchandra Dikshit Advocate,IND,0,Graduate Professional,65,3670302,0
Mahanth,Aam Janta Party (India),0,8th Pass,36,313500,0
Murli Manohar Jaiswal,SP, 2 ,Graduate,33,22467139,411554
Ramashray,Moderate Party,0,Post Graduate,66,4310795,0
Ramikbal,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,12th Pass,37,450000,0
Ramjee Giri,INC, 2 ,Graduate Professional,56,29127873,568600
Sudhir Kumar Vishwakarma,Right to Recall Party,0,Graduate Professional,32,352000,0
Vinay Lalsahab Tiwari,BSP,0,Post Graduate,36,13439000,5133000
Anurag Singh,IND, 3 ,Graduate,41,369400,0
Devendra Singh Rathore,IND, 4 ,Post Graduate,49,22501000,1000000
Gaurav Rathore,IND,0,Graduate Professional,28,1147000,0
Rahul Alias Rahul Kumar Pathak,AAP, 3 ,12th Pass,40,2960000,0
Ram Brajesh,IND, 2 ,Graduate,55,23143000,630000
Rameshwar Singh Yadav,SP, 8 ,10th Pass,70,239635084,1444619
Samyak Chandra,IND,0,Graduate,28,621000,0
Saood Ali Khan Alias Junaid Miyan,BSP,0,12th Pass,32,69546786,2500000
Satyapal Singh Rathore,BJP, 1 ,10th Pass,64,75005001,0
Subhash Chandra,INC,0,8th Pass,57,96190000,335207
Vakil Shah,IND,0,8th Pass,65,721200,0
Ajay Singh,BSP, 4 ,12th Pass,57,138382081,0
Durgesh Kumar,IND,0,12th Pass,35,21977000,0
Gunjan Mishra,INC,0,Post Graduate,40,11390845,85728
Jugendra Singh Yadav,SP, 11 ,Graduate,52,237202843,11381751
Mahipal,Voters Party International,0,Graduate Professional,64,3042000,0
Omendra Singh,IND,0,Doctorate,45,30027000,0
Rajiv Kumar,IND,0,Graduate,28,111000,0
Ravendr Singh,IND,0,12th Pass,47,2513138,185111
Roop Kishor Shakya,Jan Adhikar Party,0,12th Pass,50,6970000,0
Sahab Singh,IND,0,8th Pass,67,771146,0
Satyaprakash,IND,0,10th Pass,46,5998049,163904
Sukhvendra Singh,IND,0,Post Graduate,33,106176000,300000
Umeshkant,AAP,0,Graduate,54,10346780,0
Vijendr Singh,IND,0,Graduate,28,2705506,0
Vipin Kumar David,BJP,0,Graduate,51,136317611,14136023
Amit Gaurav,SP, 4 ,12th Pass,46,26035934,5036697
Amit Kumar,IND,0,Graduate,28,1126000,0
Anuj Kumar,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,Post Graduate,39,1109000,0
Arjun Yadav,AAP,0,Post Graduate,29,2645000,68000
Mamta Singh,Rashtriya Backward Party,0,12th Pass,26,2527100,0
Mukesh,IND,0,Graduate,41,2056038,0
Raghuveer Singh,Voters Party International,0,12th Pass,64,5290000,65000
Suneeta Shakya,Jan Adhikar Party,0,Graduate,36,4061372,0
Tara Rajput,INC, 1 ,Post Graduate,40,2154420,0
Vidhya Verma,IND,0,Post Graduate,48,1150000,490000
Vikas Kumar,Bahujan Mukti Party,0,8th Pass,45,6699209,0
Virendra Singh Lodhi,BJP, 5 ,Graduate,51,27364583,4991201
Yogesh Kumar,BSP,0,Post Graduate,51,11735412,0
Akash Singh,BSP,0,Post Graduate,27,16467671,0
Ashok,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,56,41758356,0
Chob Singh,Jan Adhikar Party,0,Graduate Professional,63,3655000,0
Dhiraz Singh,Jansatta Dal Loktantrik,0,12th Pass,35,11243678,0
Indresh Kumari,Voters Party International,0,Post Graduate,30,55000,0
Neelama Raj,INC,0,Graduate,48,320000,0
Premlata,AAP,0,Not Given,29,1586000,0
Rahul Kumar Verma,IND,0,Graduate,33,661325,0
Rahul Pratap Singh,IND,0,Graduate Professional,33,0,0
Raja Babu,IND,0,Graduate,28,0,0
Raju,Bhartiya Jan Nayak Party,0,Post Graduate,42,1884400,0
Ranjeet Suman,SP,0,Post Graduate,46,89852475,0
Sanjeev Kumar,BJP,0,Graduate,43,13999507,142107
Sukhvir Singh Dhangar,Rashtriya Shoshit Samaj Party,0,Graduate Professional,36,2432400,350000
Ashutosh Kumar,IND,0,Graduate,30,10290000,0
Brajendra Pratap Singh,BSP,0,12th Pass,54,40960000,0
Gyanesh Kumar,AAP,0,Graduate,26,3698000,266000
Madhu,Jan Adhikar Party,0,Post Graduate,37,2223000,0
Shivpal Singh Yadav,SP,0,Graduate Professional,66,117790853,16759564
Vishwanath Pratap,IND,0,12th Pass,32,415000,0
Vivek Shakya,BJP,0,Graduate,32,2709173,300000
Bobby,Jansatta Dal Loktantrik,0,12th Pass,46,57105606,0
Kuldeep Gupta,BSP, 1 ,8th Pass,50,45333062,10547576
Manoj,IND, 1 ,8th Pass,42,795000,0
Mohd Rashid,INC, 1 ,Post Graduate,40,13445984,988994
Partibha Shakya,IND,0,Post Graduate,44,22237044,0
Sarita,BJP,0,Graduate,55,39182348,1200000
Sarvesh Kumar Shakya,SP,0,Post Graduate,49,22237044,0
Satya Prakash,Jan Adhikar Party,0,Graduate,48,19600000,220000
Sharad Bhadauriya,IND,0,Graduate,30,710000,0
Shiv Pratap Singh,AAP,0,Graduate Professional,38,18160000,42950
Shyam Singh,Sabka Dal United,0,Post Graduate,31,1709000,0
Adarsh,IND,0,12th Pass,61,14158000,0
Bhupendra Kumar Dhangar,Rashtriya Shoshit Samaj Party,0,Graduate,34,3156000,440000
Kamlesh,BSP,0,Post Graduate,51,7009530,2100000
Manoj Kumar,IND,0,8th Pass,50,3135000,0
Raghvendra Kumar Singh,SP, 1 ,Post Graduate,52,18946000,5040000
Rakesh Chandra,Jan Adhikar Party,0,Graduate Professional,61,14158000,0
Siddharth Shanker,BJP,0,Doctorate,46,148450478,38586562
Sneh Lata,INC,0,Graduate,39,3184500,300000
Arun Kumar,Jan Adhikar Party,0,Post Graduate,39,1892000,0
Dr. Surabhi,Apna Dal (Soneylal),0,Graduate Professional,37,80732601,1770000
Durga Prasad,BSP,0,12th Pass,64,23030504,900000
Lakshmi,IND,0,8th Pass,34,2089935,30000
Prashant Kumar,AAP,0,Graduate,36,5800000,0
Sarvesh Ambedkar,SP, 1 ,12th Pass,54,13590000,0
Shakuntala,INC,0,Graduate,49,44152046,0
Ajay Singh Rajput,Bahujan Mukti Party,0,Graduate Professional,43,3435000,0
Amit Kumar Singh,BSP,0,Graduate,33,1767000,0
Dharmveer,IND,0,Post Graduate,37,6071000,0
Dr. Jitendra Singh Yadav,SP, 2 ,Graduate Professional,48,137116087,79365614
Narendra Singh Yadav,IND, 1 ,Post Graduate,72,113764694,2864007
Roshan Lal,IND,0,12th Pass,44,8041201,0
Santosh,IND,0,8th Pass,41,510000,0
Shubham Tiwari,INC,0,Graduate Professional,37,2159902,0
Shyamveer Singh,Bharatiya Nagrik Party,0,12th Pass,63,1800000,0
Sonpal Singh,Bharatiya Subhash Sena,0,8th Pass,36,1070000,0
Suresh Kumar,IND,0,10th Pass,52,2620000,0
Sushil Kumar Shakya,BJP,0,12th Pass,72,29088254,3105000
Udayveer,IND,0,5th Pass,34,1080000,0
Dr. Bharat Chandra Gaur,IND,0,Graduate Professional,64,12366134,1254272
Krishan Kumar Tiwari,IND,0,10th Pass,36,505000,0
Louise Khurshid,INC, 17 ,Post Graduate,67,387036220,1343105
Major Sunil Dutt Dwivedi,BJP,0,Graduate Professional,56,40876895,0
Neeraj Pratap Shakya,AAP,0,12th Pass,44,2352028,0
Rajesh Kumar Dixit,Bhartiya Shakti Chetna Party,0,12th Pass,53,7148517,0
Ruchi Singh Rajput,Jan Adhikar Party,0,Graduate Professional,48,125000,0
Suman Shakya,SP,0,12th Pass,48,11844749,0
Varun Ashok Saxena,JD(U),0,Post Graduate,40,6512000,1837500
Vijay Kumar Katiyar,BSP, 5 ,Graduate Professional,45,16452857,5100000
Vikrant Singh,Swatantra Indian Labour Party, 3 ,12th Pass,41,25506904,1900000
Ajaj Ahmad,IND,0,Graduate,35,1200000,0
Alok,IND,0,Post Graduate,41,90000,0
Alok Verma,BSP, 1 ,Post Graduate,47,64926809,0
Archana Rathaur,INC,0,Post Graduate,50,70538624,4930134
Arshad Jamal Siddiqui,SP, 3 ,Graduate,38,370915870,18486000
Nagendra Singh Rathour,BJP,0,Graduate,64,18052790,646000
Rahul,AAP,0,10th Pass,37,760000,0
Ramteerth,Bharatiya Subhash Sena,0,10th Pass,49,129000,0
Rejvan,IND,0,10th Pass,44,60023,0
Shailendra Singh,IND,0,10th Pass,54,1232495,0
Talib Siddiqui,All India Majlis-E-Ittehadul Muslimeen, 1 ,12th Pass,38,7920289,200000
Aditya Pandey,BSP, 4 ,Graduate,60,169860760,22992644
Amar Singh,Bhartiya Vanchitsamaj Party,0,Graduate,30,81100,0
Anoop Sachan,Jan Adhikar Party,0,10th Pass,49,6206000,0
Brijendra Kumar,Bharatiya Samta Samaj Party,0,12th Pass,25,1100000,0
Kamla Devi,INC,0,Post Graduate,39,15002473,1327500
Madan Gopal,SP,0,12th Pass,63,40067801,389749
Rajendra Singh Patel,BJP,0,12th Pass,60,9426206,100000
Ram Khelavan,Aazad Samaj Party (Kanshi Ram),0,8th Pass,60,909265,0
Ram Saran Sahu,Sabhi Jan Party,0,8th Pass,42,3088993,0
Ramgopal Uttam,Arjak Adhikar Dal,0,Post Graduate,72,32145877,0
Santosh Sahni,Vikassheel Insaan Party,0,Post Graduate,41,15000000,0
Vikas Pal,Rashtra Uday Party,0,Graduate Professional,34,100000,0
Vinit Kumar,AAP,0,Doctorate,37,2632118,0
Abhimanyu Singh,INC, 1 ,Graduate,40,182463630,0
Ganga Vishun,CPI,0,12th Pass,53,1000000,0
Jay Kumar Singh Jaiki,Apna Dal (Soneylal),0,Graduate Professional,53,69628758,23552200
Laxmi Sagar,Jan Adhikar Party, 1 ,Post Graduate,56,35738465,0
Mahendra Pal Kewat,Desh Bachao Party, 1 ,10th Pass,47,7191053,490534
Manoj Kumar,AAP, 1 ,12th Pass,32,1285000,0
Rameshwar Dayal,SP, 5 ,12th Pass,51,36490744,0
Roshani Rajpoot,Sabka Dal United,0,Graduate,28,200000,0
Shivbali,IND,0,12th Pass,64,58885000,186585
Sushil Kumar,BSP, 1 ,Graduate,38,4324414,800000
Avinash Rao,Peoples Party of India (Democratic),0,Post Graduate,32,360000,0
Ayuv Ahmad,BSP,0,Graduate,47,12559874,0
Bhola Singh,Jan Adhikar Party, 1 ,10th Pass,44,3826074,0
Brajbhaan,AAP,0,Graduate,31,1275000,0
Chandra Prakash,SP,0,Graduate Professional,53,22655633,2301320
Kuldeep Singh,IND, 1 ,Graduate,32,7837000,0
Mohsin Ahmad,INC, 2 ,8th Pass,33,219500,185000
Phool Singh Lodhi,Bahujan Mukti Party,0,Graduate Professional,57,25825000,0
Ratna Singh,Bhartiya Shakti Chetna Party,0,Graduate,30,3170000,0
Vikram Singh,BJP, 2 ,Graduate,54,92655822,5518530
Vimal Kumar,Apni Zindgi Apna Dal,0,Post Graduate,39,13635000,700000
Anurag Singh,IND, 3 ,12th Pass,28,220000,65000
Chandan Singh,BSP, 1 ,Graduate,44,17408179,613000
Hemlata,INC, 1 ,10th Pass,46,8435088,1226000
Lal Singh,Peoples Party of India (Democratic),0,12th Pass,50,1401700,0
Narendara Kumar,LJP, 3 ,Graduate,35,13417834,1700000
Sheelam Devi,Bhartiya Shakti Chetna Party,0,Post Graduate,30,2886100,0
Shyamrani,IND,0,Illiterate,37,420000,0
Sushil Singh Patel,CPI,0,12th Pass,32,241064,0
Vikas Gupta,BJP,0,Post Graduate,45,323997588,123191949
Vinod Kumar,Rashtriya Krantikari Samajwadi Party,0,8th Pass,36,126400,0
Vishambhar Prasad Nishad,SP, 2 ,Post Graduate,59,53746411,0
Abdul Rajik,AAP,0,12th Pass,49,6024677,0
Fareed Ahmad,BSP,0,10th Pass,53,29617705,2738764
Mohammad Haris,IND,0,Graduate,29,4307059,2529888
Ramesh Singh,Sabka Dal United,0,8th Pass,42,1200000,0
Ranvendra Pratap Singh,BJP,0,12th Pass,58,73099985,1367335
Shivakant,INC, 8 ,Post Graduate,35,8930270,700000
Usha Maurya,SP,0,12th Pass,49,18928688,0
Ajay Chaodhari,Bhartiya Shakti Chetna Party,0,Graduate,48,1763000,150000
Ajay Kumar,SHS,0,Graduate,36,5975000,0
Arvind Kumar,Sabka Dal United,0,Post Graduate,38,500000,0
Dasharath Lal,BSP,0,Post Graduate,53,23308711,2610286
Keshan Lal,IND,0,Literate,62,2621000,0
Krishna Paswan,BJP,0,10th Pass,58,24350067,4554822
Maikulal,IND,0,5th Pass,59,1077000,0
Neelam Soni,Vikassheel Insaan Party,0,Post Graduate,47,5835000,0
Om Prakash Gihar,INC, 2 ,Post Graduate,51,4260032,0
Ram Baran,Peoples Party of India (Democratic),0,10th Pass,56,2055000,100000
Ramkrishna Hegde,CPI,0,12th Pass,64,1700000,0
Ramthirth Paramhans,SP,0,Graduate,61,79215404,0
Surendra,IND,0,12th Pass,59,2112700,0
Vijay Kumar,AAP,0,Graduate,30,0,0
Capt. Amit Chauhan,AAP,0,Others,41,11400000,6442928
Hariom,IND,0,10th Pass,42,1000000,0
Hariom Yadav,BJP, 10 ,Graduate,64,67930000,0
Jayveer Singh,IND,0,8th Pass,40,275000,0
Kedar Singh Kusawaha,Bahujan Mukti Party,0,12th Pass,55,11805500,0
Pankaj Mishra,BSP,0,12th Pass,48,33624000,0
Pratima Pal,INC,0,Post Graduate,38,1311162,0
Sarvesh Singh,SP,0,12th Pass,50,28652169,4530874
Shalini,IND,0,Graduate,41,33624000,0
Sunil Kumar Lodhi,Bharatiya Kisan Parivartan Party,0,Graduate Professional,33,739000,0
Tukman Singh Yadav,Adarsh Janta Party,0,8th Pass,71,6130000,0
Anil Kumar,BSP, 1 ,Doctorate,57,15402605,631210
Basudev Sharma,Bharatiya Subhash Sena,0,5th Pass,41,1162000,0
Mukesh Verma,SP,0,Post Graduate,53,36316362,1052297
Om Prakash Verma,BJP, 1 ,Graduate,50,32437000,3590000
Prity Mishra,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,39,882500,0
Radhey Shyam,Bharatiya Kisan Parivartan Party,0,Graduate Professional,46,2690500,0
Shashi Sharma,INC, 1 ,12th Pass,65,4269620,702000
Sheelendra Kumar Verma,AAP, 1 ,Graduate,40,9435403,1538623
Babloo Singh Rathore Alias Goldee,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,39,2943000,0
Balveer Singh Shankhawar,Moulik Adhikar Party,0,10th Pass,47,1010800,0
Baseem,IND,0,5th Pass,29,61000,0
Jaypal,Bharatiya Subhash Sena,0,5th Pass,36,1185000,0
Manish Asija,BJP,0,Graduate,57,94527999,9925556
Mool Chandra,Bhartiya Shakti Chetna Party,0,8th Pass,59,4930000,0
Neetu Singh Sisodiya,AAP,0,Literate,40,11265037,461341
Ramdas Manav,IND, 9 ,Literate,52,1152422,0
Saifurrahaman Alias Chhuttan Bhai,SP, 12 ,12th Pass,52,15960084,456240
Sandeep Tiwari,INC, 3 ,Post Graduate,45,12042637,0
Shazia Hasan,BSP,0,Post Graduate,42,10057163,0
Amit Yadav,AAP,0,Graduate Professional,26,5620000,700000
Kishan Pal Singh,IND,0,Graduate Professional,51,544200,0
Manvendra Pratap Singh,BJP,0,Post Graduate,48,54021360,2500000
Navab Singh,IND,0,Literate,61,5276000,0
Rajiv Kumar,IND,0,Graduate,47,15718935,0
Sachin Yadav,SP,0,Post Graduate,38,326512955,28416127
Shiv Pratap Singh,IND, 1 ,Post Graduate,58,6435000,0
Suneel Kumar Jha,Jan Adhikar Party,0,8th Pass,43,2949500,0
Surya Pratap Singh,BSP, 2 ,12th Pass,31,11372908,1350000
Vijay Nath Singh Verma (Chhotu),INC, 1 ,Post Graduate,38,25137397,4200000
Amar Singh,BSP,0,Graduate Professional,66,29825883,0
Anil Singh,IND,0,Post Graduate,39,64228389,3356007
Bablu Singh,AAP,0,Graduate,37,1745000,0
Deepak Kumar,Apni Janta Party,0,8th Pass,27,25500,0
Man Iratnam Gautam,Peoples Party of India (Democratic),0,Post Graduate,70,8032068,0
Naresh Kumar,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,33,766100,0
Om Prakash,Bahujan Mukti Party, 1 ,Illiterate,59,42000000,0
Prem Pal Singh Dhangar,BJP,0,Graduate,51,13326400,330000
Rakesh Babu,SP, 1 ,Post Graduate,62,25909741,1420437
Satihs Kumar Kamal,Bharatiya Kisan Parivartan Party,0,8th Pass,59,352500,0
Satyendra Kumar,IND,0,Post Graduate,32,200000,0
Smt. Yogesh Diwakar,INC,0,8th Pass,50,7979832,600000
Yatendra Kumar,Vikassheel Insaan Party, 5 ,Graduate,34,198000,0
Ashish Sharma,Loktantrik Janshakti Party,0,Graduate Professional,29,920000,42000
Bijender Singh Alias Bijendra Singh,Vijay Bharat Party,0,12th Pass,51,2869305,0
Dhruv Agraval,Liberal Party of India, 1 ,Graduate Professional,53,51379400,300000
Kripa Ram Sharma,BSP,0,Graduate Professional,62,145315959,43700
Nitish,Rashtriya Janta Party,0,Graduate,25,5738000,0
Pankaj Avana,AAP,0,Post Graduate,27,12053000,1350000
Pankaj Singh,BJP,0,Graduate,43,47991479,1200000
Pankhuri Pathak,INC,0,Graduate Professional,29,63014016,8397677
Rohit,Rashtrawadi Janlok Party (Satya),0,Graduate,28,2398000,1400000
Sarmedra,IND,0,5th Pass,37,95000,0
Sorabh Goel,IND,0,Graduate Professional,43,17076692,0
Sunil Choudhary,SP, 4 ,12th Pass,43,166626708,1936500
Yeshu Singh,IND,0,Post Graduate,27,55858,0
Amit Basoya,IND,0,12th Pass,33,2212000,0
Chaman Singh,Mihir Sena,0,12th Pass,51,19131281,0
Deepak Kumar Bhati Chotiwala,INC, 1 ,Graduate,40,4758031,2011055
Hemant Sharma,SHS,0,Illiterate,26,1781000,0
Jagdish Singh,Sarv Samaj Party,0,Graduate,53,10410000,2900000
Manbir Singh,BSP, 11 ,Post Graduate,42,36505000,0
Raghwendra Kumar Srivastava,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,Post Graduate,50,4935427,1455382
Rajkumar Bhati,SP, 3 ,Post Graduate,57,9967787,1472000
Sanjay,AAP, 1 ,Graduate,46,32455342,0
Sanjay Kumar Sharma,IND,0,Not Given,37,16261000,0
Trilochan Narayan Singh,IND,0,12th Pass,45,6310000,2500000
Vinay Nagar,Bahujan Andolan Party,0,Illiterate,34,1630000,0
Avtar Singh Bhadana,RLD, 1 ,8th Pass,64,131061250,11879753
Dhaniram,IND,0,10th Pass,49,39995000,991000
Dhirendra Singh,BJP,0,Post Graduate,55,103271114,10299585
Manoj,INC, 1 ,Graduate,46,79654410,100000
Manoj Kumar Sharma,Loktantrik Janshakti Party,0,Graduate Professional,46,8109999,0
Narender Kumar,BSP,0,Graduate Professional,39,77911847,50414343
Neeru Walia,Sarv Samaj Party,0,Graduate,65,9125000,0
Poonam,AAP,0,Graduate,50,33850861,0
Sunil Gautam,IND, 3 ,8th Pass,36,4137250,0
Trilok Chand Sharma,IND, 4 ,Post Graduate,49,1335000,0
Veer Singh,IND,0,Post Graduate,51,8557629,30000
Vijay,IND,0,8th Pass,37,3400000,0
Akil,BSP, 1 ,Literate,52,61555000,500000
Amit Kumar,Hindusthan Nirman Dal,0,Graduate Professional,29,12223000,0
Dilshad,Rashtriya Samaj Paksha,0,12th Pass,43,210000,0
Jai Prakash Dube,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,12th Pass,40,539192,12928
Madan Bhaiya,RLD, 2 ,12th Pass,62,165376239,8050000
Mehtab,All India Majlis-E-Ittehadul Muslimeen, 3 ,10th Pass,47,14687000,150000
Mohd Yamin Malik,INC,0,10th Pass,33,10370109,1000000
Nandkishor,BJP, 5 ,Post Graduate,46,24604367,35975
Ranjita Dhama,IND, 3 ,12th Pass,45,53860720,250000
Sachin Kumar Sharma,AAP,0,Post Graduate,39,15150189,14546887
Ajit Pal Tyagi,BJP,0,Graduate Professional,48,93976473,10600000
Ayyuv Khan,BSP,0,8th Pass,44,20059500,1000000
Lalit Mohan Tyagi,IND,0,10th Pass,31,869526,0
Mahesh Tyagi,AAP,0,8th Pass,59,20426319,0
Manoj Kumar Sharma (Hodia),Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,Post Graduate,46,10901619,0
Prabhat Kumar Sharma,IND,0,12th Pass,47,14030308,0
Prerna Solanki,Nyay Party,0,12th Pass,43,6867157,0
Rajkumar Tyagi,Vijay Bharat Party,0,12th Pass,67,38740,0
Surendra Kumar Munni,RLD, 1 ,Graduate,66,16250897,0
Vijendra Yadav,INC,0,12th Pass,54,18140882,0
Ajeet Kumar Pal,BSP,0,8th Pass,50,45485250,2700000
Amarpal,SP, 8 ,12th Pass,54,356491658,2446359
Anima Ojha,Right to Recall Party,0,Doctorate,34,202000,0
Bhupendra Nath,Jan Adhikar Party,0,Graduate,47,3157574,2417180
Chhavi Yadav,AAP,0,Doctorate,50,30923718,7342313
Geetanjali,IND,0,10th Pass,42,5735000,100000
Man Mohan Jha,All India Majlis-E-Ittehadul Muslimeen, 2 ,8th Pass,43,95000,232000
Sangeeta Tyagi,INC,0,Graduate Professional,53,35209018,569119
Sujit Tiwari,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,10th Pass,43,4841124,971851
Sunil Kumar Sharma,BJP,0,Post Graduate,59,13488067,1552500
Vijay Kumar,IND, 1 ,Illiterate,36,7057000,0
Amit Sharma,IND,0,Literate,40,4976000,0
Ashutosh Gupta,IND,0,Doctorate,43,22977276,2344562
Atul Garg,BJP,0,12th Pass,64,230304541,12901325
Krishan Kumar,BSP,0,12th Pass,49,31935000,2600000
Naresh Kumar,Rashtriya Samaj Paksha,0,12th Pass,48,225000,0
Nimit,AAP,0,Post Graduate,34,989400,16250
Pintu Singh,IND,0,10th Pass,45,4320000,0
Pradeep Kumar Pathak,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,12th Pass,56,932369,0
Rajnish Kumar Thakur,IND,0,Others,39,2775000,0
Rakesh Suri,Right to Recall Party,0,Graduate,45,99454,0
Rani Dev Shree,IND,0,12th Pass,51,5759600,1400000
Sudhir Kumar,IND,0,Graduate,36,85000,0
Sushant Goyal,INC,0,12th Pass,49,127231962,15011679
Vishal Verma,SP, 1 ,Graduate Professional,44,1520000,0
Anil,IND,0,10th Pass,46,15820453,0
Dr. Manju Shiwach,BJP,0,Graduate,59,139916296,8542804
Dr. Poonam Garg,BSP,0,Graduate Professional,56,67441600,2760000
Harindra Kumar Sharma,AAP,0,Graduate,51,6400000,0
Neeraj Kumari,INC,0,Post Graduate,41,4856569,0
Sudesh Sharma,RLD, 7 ,10th Pass,57,140222081,2774109
Vijay,Bahujan Mukti Party,0,Post Graduate,60,2675000,0
Bihari Lal Singh,AAP, 1 ,Graduate Professional,60,35255987,2018131
Chhangur Prasad Maurya,Bahujan Mukti Party, 1 ,Post Graduate,60,6439139,0
Dhananjay Kumar Tiwari,IND,0,Graduate,33,1884154,167617
Dilshad Ahmad,Hamdard Party,0,5th Pass,34,8000,0
Dr. Raj Kumar Singh Gautam,BSP, 11 ,Doctorate,56,251906398,174701582
Dr. Sangeeta Balwant,BJP, 1 ,Doctorate,43,12517940,325000
Jaikishan,SP,0,Graduate,60,26129145,0
Kesha Devi,Bharatiya Samta Samaj Party, 2 ,Illiterate,36,2313101,0
Kusum Tiwari,Loktantrik Janshakti Party,0,Post Graduate,49,510000,0
Lalit Mohan,IND,0,Graduate,54,525000,0
Lautan,INC,0,Graduate,52,6194755,0
Md. Sad Adil,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,36,526320,0
Ramchandra,Akhil Bharatiya Socialist Party,0,Not Given,30,4871500,65000
Rudra Dutt Tiwari,CPI,0,Graduate,58,623828,0
Samta Bind,IND,0,Graduate Professional,44,91000,0
Sanjay Kumar Bind,IND,0,Post Graduate,34,685000,0
Santosh Singh Kushwaha,IND,0,Graduate Professional,41,70000,0
Satyaadev Singh,Rashtrawadi Janlok Party (Satya),0,Graduate Professional,61,10075000,0
Suresh Bind,IND,0,Literate,45,1020000,0
Ajay,INC,0,Graduate,49,43976000,3169000
Duniya Ram,Bahujan Mukti Party, 1 ,Others,65,1575436,0
Harindar,Sarv Rajya Party,0,10th Pass,63,1267000,0
Jai Singh Kumar,Aazad Samaj Party (Kanshi Ram),0,10th Pass,31,3500000,0
Kalicharan Singh Yadav,AAP, 1 ,Others,70,33035148,0
Manish Kumar Chaudhary,Vikassheel Insaan Party,0,Post Graduate,25,930800,0
Manju Lata,IND,0,10th Pass,36,2320202,0
Mukesh,BSP,0,Post Graduate,44,46840658,5730650
Ram Bachan Singh Yadav,IND,0,12th Pass,65,3000000,0
Ram Badan Singh,CPI,0,Doctorate,66,53526736,0
Ram Naresh Kushwaha,BJP,0,Post Graduate,73,10819218,0
Virendra Kumar Yadav,SP, 1 ,Doctorate,40,159601705,58110343
Yogendra,Jan Adhikar Party,0,8th Pass,41,17132000,2100000
Arvind,Bhartiya Jan Nayak Party,0,12th Pass,63,73000,0
Arvind Varma,JD(U), 1 ,Not Given,42,20000,0
Gyan Prakash,INC,0,12th Pass,50,10620595,2800000
